location_id,risk_label,risk_cluster,risk_score_knn
N116,high,0,1.0
N117,high,1,1.0
N118,high,0,1.0
N119,high,1,1.0
N120,low,1,1.0
N121,high,1,1.0
N122,high,0,1.0
N123,high,0,1.0
N124,high,0,1.0
N125,high,0,1.0
N126,high,0,1.0
N127,high,0,1.0
N128,high,1,1.0
N129,high,1,1.0
N130,high,0,1.0
N131,high,0,1.0
N132,high,0,1.0
N133,high,0,1.0
N134,high,0,1.0
N135,high,0,1.0
N136,high,0,1.0
N137,high,0,1.0
N138,high,0,1.0
N139,high,0,1.0
N140,high,0,1.0
N141,high,0,1.0
N142,high,0,1.0
N143,high,0,1.0
N144,high,0,1.0
N145,high,0,1.0
N146,high,0,1.0
N147,high,0,1.0
N148,high,0,1.0
N149,high,0,1.0
N150,high,0,1.0
N151,high,0,1.0
N152,high,0,1.0
N153,high,0,1.0
N154,high,0,1.0
N155,high,0,1.0
N156,high,0,1.0
N157,high,0,1.0
N158,high,0,1.0
N159,high,0,1.0
N160,high,0,1.0
N161,high,0,1.0
N162,high,0,1.0
N163,high,0,1.0
N164,high,0,1.0
N165,high,0,1.0
N166,high,0,1.0
N167,high,0,1.0
N168,high,0,1.0
N169,high,0,1.0
N170,high,0,1.0
N171,high,0,1.0
N172,high,0,1.0
N173,high,0,1.0
N174,high,0,1.0
N175,high,0,1.0
N176,high,0,1.0
N177,high,0,1.0
N178,high,0,1.0
N179,high,0,1.0
N180,high,0,1.0
N181,high,0,1.0
N182,high,0,1.0
N183,high,0,1.0
N184,high,0,1.0
N185,high,0,1.0
N186,high,0,1.0
N187,high,0,1.0
N188,high,0,1.0
N189,high,0,1.0
N190,high,0,1.0
N191,high,0,1.0
N192,high,0,1.0
N193,high,0,1.0
N194,high,0,1.0
N195,high,0,1.0
N196,high,0,1.0
N197,high,0,1.0
N198,high,0,1.0
N199,high,0,1.0
N200,high,0,1.0
N201,high,0,1.0
N202,high,0,1.0
N203,high,0,1.0
N204,high,0,1.0
N205,high,0,1.0
N206,high,0,1.0
N207,high,0,1.0
N208,high,0,1.0
N209,high,0,1.0
N210,high,0,1.0
N211,high,0,1.0
N212,high,0,1.0
N213,high,0,1.0
N214,high,0,1.0
N215,high,0,1.0
N216,high,0,1.0
N217,high,0,1.0
N218,high,0,1.0
N219,high,0,1.0
N220,high,0,1.0
N221,high,0,1.0
N222,high,0,1.0
N223,high,0,1.0
N224,high,0,1.0
N225,high,0,1.0
N226,high,0,1.0
N227,high,0,1.0
N228,high,0,1.0
N229,high,0,1.0
N230,high,0,1.0
N231,high,0,1.0
N232,high,0,0.6667
N233,high,0,1.0
N234,high,0,1.0
N235,high,0,1.0
N236,high,0,1.0
N237,high,0,1.0
N238,high,0,1.0
N239,high,0,1.0
N240,high,0,1.0
N241,high,0,1.0
N242,high,0,1.0
N243,high,0,1.0
N244,high,0,1.0
N245,high,0,1.0
N246,high,0,1.0
N247,high,0,1.0
N248,high,0,1.0
N249,high,0,1.0
N250,high,0,1.0
N251,high,0,1.0
N252,high,0,1.0
N253,high,0,1.0
N254,high,0,1.0
N255,high,0,1.0
N256,high,0,1.0
N257,high,0,1.0
N258,high,0,1.0
N259,high,0,1.0
N260,high,0,1.0
N261,high,0,1.0
N262,high,0,1.0
N263,high,0,1.0
N264,high,0,1.0
N265,high,0,1.0
N266,high,0,1.0
N267,high,0,1.0
N268,high,0,1.0
N269,high,0,1.0
N270,high,0,1.0
N271,high,0,1.0
N272,high,0,1.0
N273,high,0,1.0
N274,high,0,1.0
N275,high,0,1.0
N276,high,0,1.0
N277,high,0,1.0
N278,high,0,1.0
N279,high,0,1.0
N280,high,0,1.0
N281,high,0,1.0
N282,high,0,1.0
N283,high,0,1.0
N284,high,0,1.0
N285,high,1,1.0
N286,high,1,1.0
N287,high,1,1.0
N288,high,1,1.0
N289,high,1,1.0
N290,high,1,1.0
N291,high,0,1.0
N292,high,0,1.0
N293,high,0,1.0
N294,high,0,1.0
N295,high,0,1.0
N296,high,0,1.0
N297,high,0,1.0
N298,high,0,1.0
N299,high,0,1.0
N300,high,0,1.0
N301,high,0,1.0
N302,high,0,1.0
N303,high,0,1.0
N304,high,0,1.0
N305,high,0,1.0
N306,high,0,1.0
N307,high,0,1.0
N308,high,1,1.0
N309,high,0,1.0
N310,high,0,1.0
N311,high,0,0.3333
N312,high,0,1.0
N313,high,0,1.0
N314,high,0,1.0
N315,high,0,1.0
N316,high,0,1.0
N317,high,0,1.0
N318,high,0,1.0
N319,high,0,1.0
N320,high,0,1.0
N321,high,0,1.0
N322,high,0,1.0
N323,high,0,1.0
N324,high,0,1.0
N325,high,0,1.0
N326,high,0,1.0
N327,high,0,1.0
N328,high,0,1.0
N329,high,0,1.0
N330,high,0,1.0
N331,high,0,1.0
N332,high,0,1.0
N333,high,0,1.0
N334,high,0,1.0
N335,high,0,1.0
N336,high,0,1.0
N337,high,0,1.0
N338,low,1,1.0
N339,high,1,1.0
N340,high,1,1.0
N341,high,1,1.0
N342,high,0,1.0
N343,high,0,1.0
N344,high,0,1.0
N345,high,0,1.0
N346,high,0,1.0
N347,high,0,1.0
N348,high,0,1.0
N349,high,0,1.0
N350,high,0,1.0
N351,high,0,1.0
N352,high,0,1.0
N353,high,0,1.0
N354,high,0,1.0
N355,high,0,1.0
N356,high,0,1.0
N357,high,0,1.0
N358,high,0,1.0
N359,high,0,1.0
N360,high,0,1.0
N366,high,1,1.0
N367,high,1,1.0
N368,high,1,1.0
N369,high,1,1.0
N372,high,0,1.0
N373,high,0,1.0
N374,high,0,1.0
N375,high,0,1.0
N377,high,0,1.0
N378,high,0,1.0
N379,high,0,1.0
N380,high,0,1.0
N381,high,0,1.0
N382,high,0,1.0
N383,high,1,1.0
N384,high,1,1.0
N387,high,0,1.0
N388,high,0,1.0
N389,high,1,1.0
N390,high,1,0.6667
N391,high,0,1.0
N392,high,0,1.0
N393,high,0,1.0
N394,high,0,1.0
N395,high,0,1.0
N396,high,0,1.0
N397,high,0,1.0
N398,high,0,1.0
N399,high,1,1.0
N400,high,1,1.0
N401,high,0,1.0
N402,high,0,1.0
N403,high,1,1.0
N404,high,1,1.0
N405,high,0,0.6667
N406,high,0,0.6667
N407,high,0,1.0
N408,high,0,1.0
N409,high,0,1.0
N410,high,0,1.0
N411,high,0,1.0
N412,high,0,1.0
N413,high,0,1.0
N414,high,0,1.0
N415,high,0,1.0
N416,high,0,0.6667
N417,high,0,1.0
N418,high,1,1.0
N419,high,0,1.0
N420,high,0,1.0
N421,high,0,1.0
N422,high,0,1.0
N424,low,1,1.0
N425,low,1,1.0
N426,high,0,1.0
N427,high,0,1.0
N428,high,0,1.0
N429,high,0,1.0
N430,high,0,1.0
N431,high,0,1.0
N432,high,0,1.0
N433,high,0,1.0
N434,high,0,1.0
N435,high,0,1.0
N442,high,1,1.0
N443,high,1,1.0
N450,high,1,1.0
N451,high,1,1.0
N452,high,1,1.0
N453,high,1,1.0
N454,high,1,1.0
N455,high,1,1.0
N460,high,1,1.0
N461,high,1,1.0
N462,high,1,1.0
N463,high,1,1.0
N464,high,1,1.0
N465,high,1,1.0
N466,high,1,1.0
N467,high,1,1.0
N468,low,1,1.0
N469,low,1,1.0
N470,low,1,1.0
N471,low,1,1.0
N472,low,1,1.0
N473,low,1,1.0
N474,low,1,1.0
N475,low,1,1.0
N476,low,1,1.0
N477,low,1,1.0
N478,low,1,1.0
N479,low,1,1.0
N480,low,1,1.0
N481,low,1,1.0
N482,low,1,1.0
N483,low,1,1.0
N484,low,1,1.0
N485,low,1,1.0
N486,low,1,1.0
N487,low,1,1.0
N488,low,1,1.0
N489,low,1,1.0
N490,low,1,1.0
N491,low,1,1.0
N492,low,1,1.0
N493,low,1,1.0
N494,low,1,1.0
N495,low,1,1.0
N496,low,1,1.0
N497,low,1,1.0
N498,low,1,1.0
N499,low,1,1.0
N500,low,1,1.0
N501,low,1,1.0
N502,low,1,1.0
N503,low,1,1.0
N504,low,1,1.0
N505,low,1,1.0
N506,low,1,1.0
N507,low,1,1.0
N508,low,1,1.0
N509,low,1,1.0
N510,low,1,1.0
N511,low,1,1.0
N512,low,2,1.0
N513,low,1,1.0
N514,low,2,1.0
N515,low,1,1.0
N518,high,0,1.0
N519,high,0,1.0
N520,high,0,1.0
N521,high,0,1.0
N522,high,0,1.0
N523,high,0,1.0
N524,high,0,1.0
N525,high,0,1.0
N526,high,0,1.0
N527,high,0,1.0
N528,high,0,1.0
N529,high,0,1.0
N530,high,0,1.0
N531,high,0,1.0
N532,high,0,1.0
N533,high,0,1.0
N534,high,0,1.0
N535,high,0,1.0
N536,high,0,1.0
N537,high,0,1.0
N538,high,0,1.0
N539,high,0,1.0
N540,high,0,1.0
N541,high,0,1.0
N542,high,0,1.0
N543,high,0,1.0
N544,high,0,1.0
N545,high,0,1.0
N546,high,0,1.0
N547,high,0,1.0
N548,high,0,1.0
N549,high,0,1.0
N550,high,0,1.0
N551,high,0,1.0
N552,high,0,1.0
N553,high,0,1.0
N554,low,1,1.0
N555,low,1,1.0
N556,low,1,1.0
N557,low,1,1.0
N558,low,1,1.0
N559,low,1,1.0
N560,low,1,1.0
N561,low,1,1.0
N562,low,1,1.0
N563,low,1,1.0
N564,low,1,1.0
N565,low,1,1.0
N566,low,1,1.0
N567,low,1,1.0
N568,low,1,1.0
N569,low,1,1.0
N570,low,1,1.0
N571,low,1,1.0
N572,low,1,1.0
N573,low,1,1.0
N574,low,1,1.0
N575,low,1,1.0
N576,low,1,1.0
N577,low,1,1.0
N578,low,1,1.0
N579,low,1,1.0
N580,low,1,1.0
N581,low,1,1.0
N582,low,1,1.0
N583,low,1,1.0
N584,high,1,1.0
N585,high,1,1.0
N586,high,1,1.0
N587,high,1,1.0
N588,high,1,1.0
N589,high,1,1.0
N590,high,1,1.0
N591,high,1,1.0
N592,high,1,1.0
N593,high,1,1.0
N594,high,1,1.0
N595,high,1,1.0
N596,high,1,1.0
N597,high,1,1.0
N598,high,1,1.0
N599,high,1,1.0
N600,high,1,1.0
N601,high,1,1.0
N602,high,1,1.0
N603,high,1,1.0
N604,high,1,1.0
N605,high,1,1.0
N606,high,1,1.0
N607,high,1,1.0
N608,high,1,1.0
N609,high,1,1.0
N610,high,1,1.0
N611,high,1,1.0
N612,high,1,1.0
N613,high,1,1.0
N614,high,1,1.0
N615,high,1,1.0
N616,high,1,1.0
N617,high,1,1.0
N618,high,1,1.0
N619,high,1,1.0
N620,high,1,1.0
N621,high,1,1.0
N622,high,1,1.0
N623,high,1,1.0
N624,high,1,1.0
N625,high,1,1.0
N626,high,1,1.0
N627,high,1,1.0
N628,high,1,1.0
N629,high,1,1.0
N630,high,1,1.0
N631,high,1,1.0
N632,low,2,1.0
N633,low,2,1.0
N634,low,2,1.0
N635,low,2,1.0
N636,low,2,1.0
N637,low,2,1.0
N638,low,2,1.0
N639,low,1,1.0
N640,low,1,1.0
N641,low,1,1.0
N642,low,2,1.0
N643,low,1,1.0
N644,low,1,1.0
N645,low,2,1.0
N646,low,2,1.0
N647,low,1,1.0
N648,low,2,1.0
N649,low,2,1.0
N650,low,1,1.0
N651,low,2,1.0
N652,low,2,1.0
N653,low,2,1.0
N654,high,1,0.3333
N655,low,2,1.0
N656,low,2,1.0
N657,low,2,1.0
N658,low,2,1.0
N659,low,2,1.0
N660,low,2,1.0
N661,low,1,1.0
N662,low,2,1.0
N663,low,2,1.0
N664,low,2,1.0
N665,low,2,1.0
N666,low,2,1.0
N667,low,2,1.0
N668,low,2,1.0
N669,low,2,1.0
N670,low,2,1.0
N671,low,2,1.0
N672,low,2,1.0
N673,low,2,1.0
N674,low,1,1.0
N675,low,1,1.0
N676,low,1,1.0
N677,low,1,1.0
N678,low,1,1.0
N679,low,1,1.0
N680,low,2,1.0
N681,low,2,1.0
N682,low,1,1.0
N683,low,1,1.0
N684,low,2,1.0
N685,low,1,1.0
N686,low,2,1.0
N687,low,2,1.0
N688,low,2,1.0
N689,low,2,1.0
N690,low,1,1.0
N691,low,2,1.0
N692,low,1,1.0
N693,low,2,1.0
N694,low,2,1.0
N695,low,2,1.0
N696,low,2,1.0
N697,low,2,1.0
N698,low,2,1.0
N699,low,2,1.0
N700,low,2,1.0
N701,low,2,1.0
N702,low,2,1.0
N703,low,2,1.0
N704,low,2,1.0
N705,low,2,1.0
N706,low,2,1.0
N707,low,2,1.0
N708,low,2,1.0
N709,low,2,1.0
N710,low,2,1.0
N711,low,2,1.0
N712,low,2,1.0
N713,low,2,1.0
N714,low,2,1.0
N715,low,2,1.0
N716,low,2,1.0
N717,low,2,1.0
N718,low,2,1.0
N719,low,2,1.0
N720,low,2,1.0
N721,low,2,1.0
N722,low,2,1.0
N723,low,2,1.0
N724,low,2,1.0
N725,low,2,1.0
N726,low,2,1.0
N727,low,2,1.0
N728,low,1,1.0
N729,low,1,1.0
N730,low,1,1.0
N731,low,2,1.0
N732,low,1,1.0
N733,low,1,1.0
N734,low,2,1.0
N735,low,2,1.0
N736,low,2,1.0
N737,low,2,1.0
N738,low,2,1.0
N739,low,1,1.0
N740,low,2,1.0
N741,low,2,1.0
N742,low,2,1.0
N743,low,2,1.0
N744,low,1,1.0
N745,low,2,1.0
N746,low,2,1.0
N747,low,2,1.0
N748,low,2,1.0
N749,low,2,1.0
N750,low,1,1.0
N751,low,2,1.0
N752,low,2,1.0
N753,low,2,1.0
N754,low,2,1.0
N755,low,2,1.0
N756,low,2,1.0
N757,low,2,1.0
N758,low,1,1.0
N759,low,2,1.0
N760,low,2,1.0
N761,low,2,1.0
N762,low,1,1.0
N763,low,2,1.0
N764,low,1,1.0
N765,low,2,1.0
N766,low,1,1.0
N767,low,1,1.0
N768,low,1,1.0
N769,low,2,1.0
N770,low,2,1.0
N771,low,2,1.0
N772,low,2,1.0
N773,low,2,1.0
N774,low,2,1.0
N775,low,2,1.0
N776,low,2,1.0
N777,low,2,1.0
N778,low,2,1.0
N779,low,1,1.0
N780,low,2,1.0
N781,low,2,1.0
N782,low,2,1.0
N783,low,2,1.0
N784,low,2,1.0
N785,low,2,1.0
N786,low,2,1.0
N787,low,1,1.0
N788,low,1,1.0
N789,low,2,1.0
N790,low,2,1.0
N791,low,2,1.0
N792,low,2,1.0
N793,low,2,1.0
N794,low,2,1.0
N795,low,1,1.0
N796,low,2,1.0
N797,low,2,1.0
N798,low,1,1.0
N799,low,2,1.0
N800,low,1,1.0
N801,low,2,1.0
N802,low,1,1.0
N803,low,2,1.0
N804,low,2,1.0
N805,low,2,1.0
N806,low,2,1.0
N807,low,2,1.0
N808,low,2,1.0
N809,low,2,1.0
N810,low,1,1.0
N811,low,1,1.0
N812,low,1,1.0
N813,low,2,1.0
N814,low,2,1.0
N815,low,1,1.0
N816,low,1,1.0
N817,low,1,1.0
N818,low,1,1.0
N819,low,1,1.0
N820,low,1,1.0
N821,low,2,1.0
N822,low,2,1.0
N823,low,2,1.0
N824,low,2,1.0
N825,low,1,1.0
N826,low,2,1.0
N827,low,1,1.0
N828,low,1,1.0
N829,low,2,1.0
N830,low,2,1.0
N831,low,2,1.0
N832,low,2,1.0
N833,low,2,1.0
N834,low,2,0.6667
N835,low,2,1.0
N836,low,2,0.0
N837,low,1,1.0
N838,low,1,1.0
N839,low,1,1.0
N840,low,1,1.0
N841,low,1,1.0
N842,low,1,1.0
N843,low,1,1.0
N844,low,1,1.0
N845,high,1,1.0
N846,low,1,1.0
N847,low,1,1.0
N848,low,1,1.0
N849,low,1,1.0
N850,low,1,1.0
N851,low,1,1.0
N852,low,1,1.0
N853,low,1,1.0
N854,high,1,1.0
N855,high,1,1.0
N856,high,1,1.0
N857,high,1,1.0
N858,high,1,1.0
N859,high,1,0.6667
N860,high,1,1.0
N861,high,1,1.0
N862,high,1,1.0
N863,low,1,1.0
N864,low,1,1.0
N865,high,1,1.0
N866,low,1,1.0
N867,low,1,1.0
N868,high,1,1.0
N869,high,1,1.0
N870,low,2,0.6667
N871,high,1,1.0
N872,low,2,1.0
N873,low,2,1.0
N874,low,2,1.0
N875,low,2,1.0
N876,low,1,1.0
N877,low,1,1.0
N878,low,1,1.0
N879,low,1,1.0
N880,low,2,1.0
N881,low,1,1.0
N882,low,1,1.0
N883,low,1,1.0
N884,low,1,1.0
N885,low,1,0.6667
N886,low,1,1.0
N887,low,1,1.0
N888,low,2,1.0
N889,low,2,1.0
N890,low,2,1.0
N891,low,2,1.0
N892,low,2,1.0
N893,low,2,1.0
N894,low,2,1.0
N895,low,2,1.0
N896,low,2,1.0
N897,low,2,1.0
N898,low,1,1.0
N899,low,2,1.0
N900,low,2,1.0
N901,low,2,1.0
N902,low,2,1.0
N903,low,2,1.0
N904,low,2,1.0
N905,low,2,1.0
N906,low,2,1.0
N907,low,2,1.0
N908,low,2,1.0
N909,low,2,1.0
N910,low,2,1.0
N911,low,2,1.0
N912,low,2,1.0
N913,low,1,1.0
N914,low,1,1.0
N915,low,1,1.0
N916,low,1,1.0
N917,low,1,1.0
N918,low,2,1.0
N919,low,2,1.0
N920,low,2,1.0
N921,low,2,1.0
N922,low,2,1.0
N923,low,2,1.0
N924,low,2,1.0
N925,low,2,1.0
N926,low,2,1.0
N927,low,1,1.0
N928,low,1,1.0
N929,low,1,1.0
N930,low,1,1.0
N931,low,1,1.0
N932,low,1,1.0
N933,low,1,1.0
N934,low,1,1.0
N935,low,1,1.0
N936,low,1,1.0
N937,low,1,1.0
N938,low,1,1.0
N939,low,1,1.0
N940,low,1,1.0
N941,low,2,1.0
N942,low,2,1.0
N943,low,2,1.0
N944,low,2,1.0
N945,low,2,1.0
N946,low,2,1.0
N947,low,2,1.0
N948,low,2,1.0
N949,low,2,1.0
N950,low,2,1.0
N951,low,2,1.0
N952,low,2,1.0
N953,low,2,1.0
N954,low,2,1.0
N955,low,2,1.0
N956,low,2,1.0
N957,low,2,1.0
N958,low,2,1.0
N959,low,2,1.0
N960,low,2,1.0
N961,low,2,0.0
N962,low,2,0.0
N963,low,2,1.0
N964,low,2,1.0
N965,low,2,0.0
N966,low,2,1.0
N967,low,2,1.0
N968,low,2,1.0
N969,low,2,0.6667
N970,low,1,1.0
N971,low,1,1.0
N972,low,1,1.0
N973,low,1,1.0
N974,low,1,1.0
N975,high,1,1.0
N976,high,1,1.0
N977,high,1,1.0
N978,high,1,1.0
N979,high,1,1.0
N980,low,1,1.0
N981,low,1,1.0
N982,low,1,1.0
N983,low,1,1.0
N984,low,1,1.0
N985,low,1,1.0
N986,low,2,1.0
N987,low,2,1.0
N988,low,2,1.0
N989,low,2,1.0
N990,low,2,1.0
N991,low,1,1.0
N992,low,2,1.0
N993,low,2,1.0
N994,low,1,1.0
N995,low,1,1.0
N996,low,2,1.0
N997,low,2,1.0
N998,low,1,1.0
N999,low,1,1.0
N1000,low,2,1.0
N1001,low,2,1.0
N1002,low,2,1.0
N1003,low,2,1.0
N1004,low,2,1.0
N1005,low,1,1.0
N1006,low,2,1.0
N1007,low,2,1.0
N1008,low,2,1.0
N1009,low,2,1.0
N1010,low,2,1.0
N1011,low,1,1.0
N1012,low,1,1.0
N1013,low,1,1.0
N1014,low,1,1.0
N1015,low,1,1.0
N1016,low,2,1.0
N1017,low,1,1.0
N1018,low,2,1.0
N1019,low,2,1.0
N1020,low,2,1.0
N1021,low,2,1.0
N1022,low,1,1.0
N1023,low,1,1.0
N1024,low,1,1.0
N1025,low,1,1.0
N1026,low,1,1.0
N1027,low,1,1.0
N1028,low,2,1.0
N1029,low,2,1.0
N1030,low,1,1.0
N1031,low,1,1.0
N1032,low,1,1.0
N1033,low,1,1.0
N1034,low,1,1.0
N1035,low,1,1.0
N1036,low,1,1.0
N1037,low,1,1.0
N1038,low,2,1.0
N1039,low,1,1.0
N1040,low,1,1.0
N1041,low,1,1.0
N1042,low,2,1.0
N1043,low,1,1.0
N1044,low,2,1.0
N1045,low,2,1.0
N1046,low,1,1.0
N1047,low,1,1.0
N1048,low,1,1.0
N1049,low,1,1.0
N1050,low,1,1.0
N1051,low,1,1.0
N1052,low,1,1.0
N1053,low,1,1.0
N1054,low,1,1.0
N1055,low,1,1.0
N1056,low,1,1.0
N1057,low,1,1.0
N1058,low,1,1.0
N1059,low,1,1.0
N1060,low,1,1.0
N1061,low,1,1.0
N1062,low,1,1.0
N1063,low,1,1.0
N1064,low,2,1.0
N1065,low,2,1.0
N1066,low,1,1.0
N1067,high,1,1.0
N1068,low,1,0.6667
N1069,low,1,0.3333
N1070,low,1,1.0
N1071,low,1,1.0
N1072,low,2,1.0
N1073,low,2,1.0
N1074,low,1,1.0
N1075,low,1,1.0
N1076,low,1,1.0
N1077,low,1,1.0
N1078,low,1,1.0
N1079,low,1,1.0
N1080,low,2,1.0
N1081,low,2,1.0
N1082,low,1,1.0
N1083,low,1,1.0
N1084,low,2,1.0
N1085,low,2,1.0
N1086,low,2,1.0
N1087,low,2,1.0
N1088,low,2,1.0
N1089,low,2,1.0
N1090,low,2,1.0
N1091,low,2,1.0
N1092,low,2,1.0
N1093,low,2,1.0
N1094,low,2,1.0
N1095,low,2,1.0
N1096,low,2,0.3333
N1097,low,1,1.0
N1098,low,2,1.0
N1099,low,1,1.0
N1100,low,2,1.0
N1101,low,2,1.0
N1102,low,2,1.0
N1103,low,2,1.0
N1104,low,2,0.6667
N1105,low,2,1.0
N1106,low,2,1.0
N1107,low,2,1.0
N1108,low,2,1.0
N1109,low,1,1.0
N1110,low,1,1.0
N1111,low,1,1.0
N1112,low,1,1.0
N1113,low,1,1.0
N1114,low,1,1.0
N1115,low,2,1.0
N1116,low,2,0.6667
N1117,low,2,1.0
N1118,low,2,1.0
N1119,low,2,1.0
N1120,low,2,1.0
N1121,low,2,1.0
N1122,high,1,1.0
N1123,low,2,1.0
N1124,low,2,1.0
N1125,low,2,1.0
N1126,low,2,1.0
N1127,low,2,1.0
N1128,low,1,1.0
N1129,low,1,1.0
N1130,low,1,1.0
N1131,low,2,1.0
N1132,low,2,1.0
N1133,low,2,1.0
N1134,low,2,0.0
N1135,low,2,0.6667
N1136,low,2,1.0
N1137,low,2,0.3333
N1138,low,2,0.3333
N1139,low,2,0.3333
N1140,low,2,1.0
N1141,low,2,1.0
N1142,low,2,1.0
N1143,low,2,1.0
N1144,low,2,1.0
N1145,low,2,1.0
N1146,low,2,1.0
N1147,low,2,1.0
N1148,low,2,1.0
N1149,low,2,1.0
N1150,low,2,1.0
N1151,low,2,1.0
N1152,low,2,1.0
N1153,low,1,1.0
N1154,low,1,1.0
N1155,low,1,1.0
N1156,low,1,1.0
N1157,low,1,1.0
N1158,low,1,1.0
N1159,low,2,1.0
N1160,low,2,1.0
N1161,low,1,1.0
N1162,low,1,1.0
N1163,low,1,1.0
N1164,low,1,1.0
N1165,low,2,1.0
N1166,low,2,1.0
N1167,low,2,1.0
N1168,low,2,1.0
N1169,low,1,1.0
N1170,low,1,1.0
N1171,low,1,1.0
N1172,low,1,1.0
N1173,low,1,1.0
N1174,low,1,1.0
N1175,low,2,1.0
N1176,low,2,1.0
N1177,low,2,1.0
N1178,low,2,1.0
N1179,low,2,1.0
N1180,low,2,1.0
N1181,low,1,1.0
N1182,low,1,1.0
N1183,low,2,1.0
N1184,low,2,0.0
N1185,low,2,1.0
N1186,low,2,1.0
N1187,low,2,1.0
N1188,low,2,1.0
N1189,low,1,1.0
N1190,low,1,1.0
N1191,low,2,1.0
N1192,low,2,1.0
N1193,low,2,1.0
N1194,low,2,1.0
N1195,low,2,1.0
N1196,low,2,1.0
N1199,low,2,1.0
N1200,low,2,1.0
N1201,low,2,0.0
N1202,low,2,0.0
N1203,high,1,1.0
N1204,high,1,1.0
N1205,high,1,1.0
N1206,high,1,1.0
N1207,high,1,1.0
N1208,high,1,1.0
N1209,high,1,1.0
N1210,high,1,1.0
N1211,high,1,1.0
N1212,high,1,1.0
N1213,high,1,1.0
N1214,high,1,1.0
N1215,high,1,1.0
N1216,high,1,1.0
N1217,high,1,1.0
N1218,high,1,1.0
N1219,high,1,1.0
N1220,high,1,1.0
N1221,high,1,1.0
N1222,high,1,1.0
N1223,high,1,1.0
N1224,high,1,1.0
N1225,high,1,1.0
N1226,high,1,1.0
N1227,high,1,1.0
N1228,high,1,1.0
N1229,high,1,1.0
N1230,high,1,1.0
N1231,high,1,1.0
N1232,high,1,1.0
N1233,high,0,1.0
N1234,high,0,1.0
N1235,high,0,1.0
N1236,high,1,1.0
N1237,high,0,1.0
N1238,high,0,1.0
N1239,high,0,1.0
N1240,high,0,1.0
N1241,high,0,1.0
N1242,high,0,1.0
N1243,high,0,1.0
N1244,high,0,1.0
N1245,high,0,1.0
N1246,high,0,1.0
N1247,high,0,1.0
N1248,high,0,1.0
N1249,high,0,1.0
N1250,high,0,1.0
N1251,high,0,1.0
N1252,high,0,1.0
N1253,high,0,1.0
N1254,high,0,1.0
N1255,high,0,1.0
N1256,high,0,1.0
N1257,high,0,1.0
N1258,high,0,1.0
N1259,high,0,1.0
N1260,high,0,1.0
N1261,high,0,1.0
N1262,high,0,1.0
N1263,high,0,1.0
N1264,high,0,1.0
N1265,high,0,1.0
N1266,high,0,1.0
N1267,high,0,1.0
N1268,high,0,1.0
N1269,high,0,1.0
N1270,high,0,1.0
N1271,high,0,1.0
N1272,high,0,1.0
N1273,high,0,1.0
N1274,high,0,1.0
N1275,high,0,1.0
N1276,high,0,1.0
N1277,high,0,1.0
N1278,high,0,1.0
N1279,high,0,1.0
N1280,high,0,1.0
N1281,high,0,1.0
N1282,high,0,1.0
N1283,high,0,1.0
N1284,high,0,1.0
