from_id,to_id,distance_km,edge_type
N72,N73,0.6559172634506808,real
N73,N76,2.572300116795592,real
N74,N75,0.948901764667696,real
N75,N1485,0.6057994166132816,real
N76,N77,0.3893200871484178,real
N77,N1486,2.1106342502629847,real
N78,N1487,0.6009722431715356,real
N79,N78,0.7154492166884737,real
N80,N81,0.6701905499981696,real
N81,N82,0.3872971486247209,real
N82,N1488,4.733010501960942,real
N83,N85,0.2667411659439954,real
N84,N1489,0.9982399663927484,real
N85,N86,0.1593162853058095,real
N86,N87,0.344017654886902,real
N87,N88,0.6372730751785347,real
N88,N91,0.3239632501695195,real
N89,N366,0.2917175785197623,real
N89,N88,0.6635045240568274,real
N90,N89,0.5171649967570959,real
N91,N98,0.8117892400596929,real
N90,N92,0.2936220165586004,real
N90,N95,0.2563700406788615,real
N92,N98,0.3852578334684222,real
N92,N93,0.100611619799526,real
N93,N94,0.1826864960028889,real
N94,N1490,0.7097820275825855,real
N95,N389,0.6255048829322719,real
N95,N96,1.0469225679937488,real
N96,N97,0.6634412226448638,real
N97,N1491,1.539494459501345,real
N98,N102,3.14481408107805,real
N99,N1492,1.9550789341501569,real
N100,N1493,1.8216148236674825,real
N101,N100,0.3866662316949385,real
N102,N110,3.1197146081369103,real
N103,N1494,1.4339873867645432,real
N104,N106,0.9266461922550412,real
N105,N106,0.1064651079064903,real
N106,N107,0.0152093201602173,real
N107,N108,0.0456724264541043,real
N108,N109,0.6222131920132904,real
N109,N1495,0.4152323636695607,real
N110,N338,2.7785806832783413,real
N108,N291,0.6351688348416497,real
N111,N291,0.4735635442857173,real
N112,N1496,1.00818725698705,real
N113,N1497,0.6114815565721167,real
N114,N113,0.0593456062996282,real
N115,N1498,1.4429479069822748,real
N116,N113,0.4138130943982697,real
N117,N111,1.0682781410606383,real
N118,N115,0.4292133333429027,real
N113,N118,0.2269987781694809,real
N119,N117,0.0456727305297371,real
N118,N293,0.1819271538863428,real
N120,N1499,0.9061782406510378,real
N121,N122,0.8609813506221272,real
N122,N127,0.0565578636017355,real
N123,N1500,1.0441379523723744,real
N124,N1501,0.7455619816962671,real
N125,N1502,1.046826172949354,real
N126,N125,0.2790771291537299,real
N127,N133,1.47005699918557,real
N128,N124,3.868576367303613,real
N129,N128,0.2601225868854378,real
N130,N1503,0.4291766371111237,real
N131,N132,0.1227540263368258,real
N132,N130,0.7162740014474438,real
N133,N135,0.8362532292349795,real
N134,N135,0.5508229122029388,real
N132,N136,0.7005701752545,real
N135,N136,0.4801495253412655,real
N135,N300,0.1460364989552934,real
N136,N137,0.6083583722415359,real
N137,N296,0.0349362079341589,real
N138,N296,0.0152116395162593,real
N139,N138,0.3684224572926785,real
N140,N139,0.0608470993000224,real
N141,N140,0.1842123433948657,real
N140,N144,0.4825455433490818,real
N142,N302,0.2980988391838706,real
N143,N141,0.3107241592565945,real
N144,N1504,1.0892801760899415,real
N141,N145,0.3816437379547699,real
N145,N148,0.2433921187474287,real
N146,N143,0.2845428456453389,real
N147,N304,0.2478375583560035,real
N148,N149,0.4253162734281015,real
N149,N151,0.1127355349037738,real
N150,N151,0.4776640711238557,real
N151,N1505,0.7610439442741719,real
N152,N1506,0.4054789422930735,real
N153,N152,0.1265445959920996,real
N154,N1507,0.8536374879085664,real
N151,N156,0.5934909620154859,real
N155,N153,0.4616546219446203,real
N156,N161,0.0444779706582734,real
N157,N161,0.2597768170503818,real
N158,N157,0.1470334014981315,real
N155,N160,0.2049355345395551,real
N159,N158,0.1984213085575625,real
N160,N159,0.6445229075107357,real
N161,N162,0.5152755660601339,real
N162,N163,0.8522100205899812,real
N163,N164,0.3071844740682254,real
N164,N309,0.7593621632811236,real
N165,N1508,1.115727863476215,real
N166,N167,1.1525504646844238,real
N167,N314,0.593477428065784,real
N168,N1509,1.1118052237890754,real
N169,N315,0.8671456752855905,real
N170,N1510,1.52623732284392,real
N171,N311,6.918380942910358,real
N172,N170,0.4682498564468505,real
N173,N171,0.5338367657166048,real
N174,N173,0.1044942814661486,real
N175,N176,0.8008730984303064,real
N176,N172,1.1465327807332777,real
N177,N178,0.1720899963609106,real
N177,N187,0.3650030967822545,real
N176,N187,0.2957705865073791,real
N178,N188,0.7638839460468908,real
N179,N188,0.3445002952460935,real
N180,N179,0.1654752161278742,real
N181,N186,0.030437058116831,real
N182,N174,0.5840971695342708,real
N180,N182,0.1091275942611685,real
N183,N182,0.1677275661804251,real
N184,N183,0.0519521271115407,real
N185,N184,0.2181989338699178,real
N186,N319,0.0736396766210917,real
N187,N1511,0.4098579233373574,real
N188,N191,0.3047028986240488,real
N187,N193,0.4406065839938894,real
N183,N194,0.2282469460640292,real
N180,N194,0.2209191088550739,real
N189,N1512,0.3846107316130842,real
N190,N185,0.1779118826313253,real
N191,N192,0.2050763923633546,real
N192,N205,0.1721650265156095,real
N193,N205,0.4321830601792845,real
N190,N196,0.3063333561997503,real
N194,N196,0.2891543383013693,real
N195,N190,0.245509934537274,real
N196,N195,0.2381316449264137,real
N196,N199,0.2051756525717367,real
N197,N195,0.1449263748385522,real
N197,N322,0.1649860332141681,real
N198,N197,0.0981868673660417,real
N199,N203,0.7392148790999851,real
N200,N198,0.4254558728729516,real
N201,N324,0.0330972300527914,real
N200,N209,0.2304894009366674,real
N202,N201,0.2860172320730819,real
N203,N202,0.2848930432565244,real
N204,N202,0.0860528487663015,real
N205,N204,1.0443251496261508,real
N206,N324,0.2618958618751984,real
N206,N207,0.2552142603615057,real
N207,N328,0.1671157820760093,real
N208,N210,0.0111194926642146,real
N209,N326,0.9994065743860702,real
N210,N212,0.121755176070801,real
N211,N208,0.2602059933766326,real
N212,N1513,0.2050888102570391,real
N213,N1514,1.2051505089221264,real
N214,N213,0.0860577593925083,real
N211,N215,0.6191067751498402,real
N215,N216,0.1721170129647221,real
N216,N218,0.0805635418485244,real
N213,N219,0.5049000703444996,real
N217,N219,0.2911840478245519,real
N218,N330,0.4436314597468038,real
N219,N1515,1.1730572963258656,real
N220,N222,0.2090405532049344,real
N219,N220,0.967281225707112,real
N221,N1516,0.967314809052117,real
N222,N221,0.2966057423925764,real
N223,N336,0.0103928011507391,real
N220,N336,0.1338380301691516,real
N224,N227,0.2105161699042464,real
N225,N227,1.482380894639921,real
N226,N228,0.0152202713516496,real
N227,N1517,0.2358264699251698,real
N221,N232,0.676422211464756,real
N228,N231,0.1611281628134176,real
N229,N226,0.7541452248334614,real
N230,N229,0.0111194926645683,real
N231,N234,0.0111194926645683,real
N229,N239,0.6148001090424077,real
N232,N1518,0.4061113511630723,real
N229,N233,0.2167335765683705,real
N233,N236,0.1062844902022712,real
N234,N241,0.2686830713677963,real
N227,N1519,0.8196059602001157,real
N235,N231,0.3781246512619808,real
N236,N1520,0.3391487812101804,real
N237,N235,0.0637436991870434,real
N233,N238,0.2455103811145554,real
N238,N242,0.0111194926645683,real
N239,N246,0.6681805187432663,real
N238,N246,0.3314624909552521,real
N240,N250,0.4055229167245372,real
N241,N351,0.3191211498987606,real
N242,N244,0.1721786640064011,real
N243,N237,0.275134380646751,real
N244,N245,0.1822006699126422,real
N245,N249,0.1621225109430752,real
N246,N249,0.1863684313203385,real
N246,N251,0.5149477941325936,real
N237,N252,0.4836416845352412,real
N247,N248,0.2912330959011345,real
N248,N258,0.1780852637866802,real
N249,N258,0.2310524822631039,real
N250,N1521,0.5315994252037425,real
N251,N1522,0.4994802923524706,real
N252,N349,0.2082683263909412,real
N247,N349,0.1780406555731066,real
N252,N256,0.2776912670616666,real
N253,N254,0.1459365388370823,real
N254,N1523,0.8972420712258582,real
N255,N253,0.2289323923473949,real
N256,N255,0.0245479559831995,real
N257,N1524,0.5207614898478816,real
N249,N1525,0.9525395237816372,real
N258,N1526,0.5824422923791747,real
N259,N260,0.3771998435591266,real
N260,N261,0.1666754011020286,real
N261,N262,0.3290493203549525,real
N262,N354,0.1130572025740771,real
N263,N1527,0.9163720942470912,real
N258,N265,1.3973915588535577,real
N264,N267,0.4436214073870609,real
N265,N267,0.4710791608115744,real
N266,N1528,1.111677767646785,real
N267,N268,0.0235759811254596,real
N268,N356,0.0760843884795947,real
N269,N270,0.4491308840669764,real
N255,N270,1.380317127608092,real
N270,N356,0.1351289191131279,real
N271,N1529,0.558174897715469,real
N272,N271,0.5988764170116235,real
N273,N272,3.901184284865565,real
N274,N1530,0.4767836835478221,real
N275,N1531,0.7135438297896353,real
N276,N274,0.4619611988203581,real
N277,N276,0.0235814580354565,real
N278,N275,0.2135606491611229,real
N278,N277,0.0861026070259869,real
N276,N280,0.0543257435140544,real
N279,N278,0.721558340199384,real
N280,N282,0.1601280572006731,real
N281,N1532,0.8598305227962846,real
N282,N1533,0.5559112175531422,real
N280,N359,0.4195389538200096,real
N283,N284,0.6677512063945156,real
N284,N1534,0.3446063126460071,real
N284,N1535,0.3722095245385599,real
N285,N286,0.2593589705091567,real
N286,N82,0.2667415589844361,real
N88,N287,0.3630352586877496,real
N287,N285,0.2128864278405863,real
N286,N79,0.9976915297162644,real
N287,N84,0.4475757159642421,real
N96,N288,0.5515698466053122,real
N288,N101,1.216236795361522,real
N288,N99,0.3620789165189243,real
N101,N289,0.534090348307204,real
N289,N290,0.7093455180727966,real
N290,N105,2.332239726829954,real
N290,N103,0.7136943855972134,real
N291,N292,1.4019893705277284,real
N292,N114,0.1640934511950876,real
N292,N112,0.5172558934325256,real
N293,N294,1.2286877767224875,real
N294,N126,0.257636873567253,real
N294,N123,0.8486658974640532,real
N126,N295,0.0667169559870564,real
N295,N131,0.2122877571859728,real
N296,N297,0.4880009969746735,real
N297,N298,0.0564653427554647,real
N298,N299,0.3732020514092499,real
N299,N307,0.8462290062207937,real
N300,N299,0.3046793085846509,real
N153,N301,0.1587576086439333,real
N301,N146,0.3904263233662116,real
N301,N150,0.5926668378779653,real
N302,N303,0.3831591163880088,real
N303,N301,0.3794329676608692,real
N304,N303,0.165342692071981,real
N161,N154,0.6895873431009493,real
N305,N1536,0.0706511130552248,real
N305,N142,0.9634483411146688,real
N306,N305,0.2504580765747796,real
N307,N308,0.8870603705634659,real
N308,N340,0.6310081421142525,real
N308,N134,1.2633659795357657,real
N309,N310,0.2932721141917543,real
N310,N155,1.466094393695814,real
N311,N312,4.094733070806898,real
N312,N309,1.6267629366010865,real
N312,N165,0.6635552389677997,real
N313,N166,1.2777862411359988,real
N314,N1537,0.1369573498720485,real
N315,N316,0.1629331115269546,real
N316,N1537,0.2697534545119583,real
N172,N317,0.0694137778020196,real
N317,N169,0.6504544771802557,real
N176,N318,0.2328702098621806,real
N318,N177,0.2251650220853351,real
N318,N168,1.2343889636804677,real
N319,N320,0.1338378542911183,real
N320,N322,0.6251819458860083,real
N320,N189,0.3532782241465402,real
N185,N321,0.2455098900767246,real
N321,N173,0.2892934549597882,real
N321,N181,0.5277707482045622,real
N322,N323,0.491019993072903,real
N323,N326,0.9198958992971116,real
N323,N213,1.2647866197357007,real
N324,N325,0.1753077580003212,real
N325,N200,0.1598856530824485,real
N325,N208,0.8917829979000644,real
N326,N327,0.4197365590849373,real
N327,N214,0.4521491364845286,real
N328,N329,0.3472014122334294,real
N329,N216,0.2787631800446653,real
N330,N331,0.0889559413158395,real
N331,N345,0.0675214986273838,real
N331,N211,1.0653299816861337,real
N327,N332,0.4762920293605716,real
N332,N334,0.4115524614634127,real
N332,N217,0.4477983914816183,real
N333,N230,0.1397599387060797,real
N334,N335,0.4785897526320952,real
N335,N333,0.2797303247646686,real
N335,N220,0.8594294173071503,real
N336,N337,0.0895609869579559,real
N337,N226,0.1570544517786214,real
N337,N221,0.5136315905720338,real
N338,N341,2.5029657416464444,real
N128,N339,1.79921784657894,real
N339,N313,11.812576608868495,real
N340,N339,2.1915102679594027,real
N341,N120,0.6086369843710648,real
N341,N129,2.5073488341168284,real
N342,N343,0.615014704030435,real
N343,N344,0.6999160240911454,real
N344,N204,0.979480495323134,real
N345,N346,0.4219190948523704,real
N346,N347,0.166757757312736,real
N347,N239,0.5424923101191977,real
N343,N225,0.428647493554925,real
N347,N224,0.5689550217193675,real
N239,N240,0.3874173302978424,real
N244,N348,0.2234026778576393,real
N348,N247,0.1453080749321512,real
N348,N243,0.18718040033865,real
N349,N350,0.0981918005728249,real
N350,N264,0.9120035527728712,real
N350,N255,0.260081379718332,real
N351,N352,0.0981913216489336,real
N352,N254,0.4825243199491827,real
N254,N353,0.1667622702278876,real
N353,N354,0.3941472431796577,real
N354,N355,0.1397612600107043,real
N355,N269,0.1680828942043409,real
N355,N263,0.326979592142747,real
N353,N257,0.1766950931647932,real
N356,N357,0.1066121145058326,real
N357,N273,0.5697956648401112,real
N357,N266,0.3342842049201937,real
N259,N1538,0.427415095287834,real
N281,N283,0.7650219449967977,real
N272,N358,0.1572357817037102,real
N358,N281,0.9043020209217024,real
N358,N279,0.2173005092754749,real
N359,N360,0.3038753838361326,real
N360,N284,0.4459522131697129,real
N366,N1541,0.9774110987443936,real
N367,N1542,0.6076166413105072,real
N368,N1543,0.720864363097877,real
N369,N1544,0.3891452283885453,real
N372,N1547,0.9225529051856706,real
N373,N1548,0.6359900946314796,real
N374,N1549,0.8505876526167497,real
N375,N1550,0.8727449865781561,real
N377,N1552,0.644930574538245,real
N378,N379,0.3813703084001563,real
N379,N1553,0.786981032147392,real
N138,N380,0.2616428578682567,real
N380,N1554,0.552369601521789,real
N381,N382,0.5516067273122025,real
N382,N1555,0.1154733960587609,real
N383,N384,0.6273360579128614,real
N384,N1556,2.5686873809363218,real
N344,N387,1.4326814700711428,real
N387,N346,0.5315715696610764,real
N137,N388,0.2174285915666034,real
N388,N306,0.4998418146242477,real
N389,N390,1.3517852311415686,real
N390,N1558,1.0065140273036477,real
N360,N391,0.8524907753067331,real
N391,N1559,0.3854209300229,real
N194,N392,0.1367826659463744,real
N392,N203,0.8348046077982434,real
N393,N394,0.0993112932755456,real
N394,N1560,0.1885924296249007,real
N395,N396,0.500184856898923,real
N396,N1561,0.2873577846970124,real
N397,N398,0.5746336561620781,real
N398,N1562,0.3353922082166293,real
N399,N400,1.2679606472174128,real
N400,N1563,21.527544746503217,real
N401,N402,1.2513054594097317,real
N402,N1564,10.564767614047998,real
N403,N404,0.5734616012782349,real
N404,N289,0.992744544905457,real
N405,N406,0.697703486421769,real
N406,N104,1.809161393552295,real
N148,N407,0.2791091672566854,real
N407,N1565,0.965635112882733,real
N310,N408,0.2709816238644544,real
N408,N1566,0.607335932614618,real
N178,N409,0.2723077592272932,real
N409,N1567,0.8786631824361398,real
N198,N410,0.0942778551166811,real
N410,N199,0.2777596328506547,real
N316,N411,0.2515590271564605,real
N411,N1568,0.7473350143128632,real
N352,N412,0.4518704309560674,real
N412,N1569,0.894455673805624,real
N139,N413,0.2899788196645078,real
N413,N306,0.4527636231900659,real
N186,N414,0.2365238389872681,real
N414,N1570,0.4520886720526493,real
N415,N416,0.8482103629573317,real
N416,N1571,0.3769841296364559,real
N223,N417,0.5905399790088242,real
N417,N333,0.2852590436594032,real
N403,N418,0.6316256773030817,real
N418,N1572,1.958289566409719,real
N281,N419,0.1766486703597294,real
N419,N1573,0.6350685470339149,real
N297,N420,0.3532644590184882,real
N420,N1574,0.7159517853607189,real
N107,N421,0.2304072545944625,real
N421,N1575,0.4897419392950021,real
N313,N422,0.1558642742987518,real
N422,N1576,0.3118242247821934,real
N424,N425,0.3055671949572992,real
N425,N1578,0.6068512334716896,real
N426,N427,0.1680822342210471,real
N427,N1579,0.3901018253740068,real
N428,N429,0.1704715299698869,real
N429,N1580,0.3843290058426517,real
N430,N431,0.1752511866017722,real
N431,N1581,0.2804602284525556,real
N432,N433,0.206358391439806,real
N433,N1582,0.2515254407001179,real
N434,N435,0.194006830453652,real
N435,N1583,0.2927637450331051,real
N442,N443,0.2075826271740959,real
N443,N1587,0.4447797065784902,real
N450,N451,0.1868129564933381,real
N451,N1591,0.3432114551649456,real
N452,N453,0.2362262604638061,real
N453,N1592,0.4072467043569512,real
N454,N455,0.1597803493870157,real
N455,N1593,0.37001919129654,real
N460,N461,0.2827578843836755,real
N461,N1596,0.3875067068971423,real
N462,N463,0.2175500547130066,real
N463,N1597,0.2355760400432093,real
N464,N465,0.1703734210757259,real
N465,N1598,0.4485072253448963,real
N466,N467,0.1897603416343276,real
N467,N1599,0.397528359803926,real
N468,N469,0.1447196013012885,real
N469,N1600,0.4078130637933613,real
N470,N471,0.1975542561248028,real
N471,N1601,0.4873629245273378,real
N472,N473,0.2632863955157631,real
N473,N1602,0.4712008017535575,real
N474,N475,0.1870916218588739,real
N475,N1603,0.3701154810645032,real
N476,N477,0.1948878591498023,real
N477,N1604,0.3658982060543099,real
N478,N479,0.1412695456667114,real
N479,N1605,0.3499348826587832,real
N480,N481,0.1615940426238603,real
N481,N1606,0.3428231281309465,real
N482,N483,0.1664090928919873,real
N483,N1607,0.4690921643885104,real
N484,N485,0.1368867070816092,real
N485,N1608,0.4028970005882119,real
N486,N487,0.1368867498886293,real
N487,N1609,0.3270126331940952,real
N488,N489,0.1233580419809957,real
N489,N1610,0.4046776387060681,real
N490,N491,0.1530387627732698,real
N491,N1611,0.4272996825413421,real
N492,N493,0.1666970927088223,real
N493,N1612,0.2917408285848871,real
N494,N495,0.2957758861554343,real
N495,N1613,1.01733729527009,real
N496,N497,0.230402697584792,real
N497,N1614,0.2473040269027006,real
N498,N499,0.2344294295869727,real
N499,N1615,0.6224021886619376,real
N500,N501,0.2789952427533781,real
N501,N1616,0.3423758115048017,real
N502,N503,0.2211721609754223,real
N503,N1617,0.3527948302403617,real
N504,N505,0.1289709241601905,real
N505,N1618,0.3902241287296734,real
N506,N507,0.3771626428283767,real
N507,N1619,1.111936251301861,real
N508,N509,0.3488086259028555,real
N509,N1620,0.2778742723000586,real
N510,N511,0.2448487494527974,real
N511,N1621,0.5251843070490861,real
N512,N513,0.3571117969464185,real
N513,N1622,0.4723218303534839,real
N514,N515,0.6632078083805392,real
N515,N1623,0.3560599245971619,real
N518,N519,0.1557699906405445,real
N519,N1625,0.4328531272337816,real
N520,N521,0.2151730016575081,real
N521,N1626,0.4623415363270772,real
N522,N523,0.1977861963777679,real
N523,N1627,0.3923506922024233,real
N524,N525,0.1977827938088484,real
N525,N1628,0.4002992204569418,real
N526,N527,0.2450425294424967,real
N527,N1629,0.5594619708930949,real
N528,N529,0.6360088285559727,real
N529,N1630,0.1765044586347483,real
N530,N531,0.4621278383145884,real
N531,N1631,0.9344056475437392,real
N532,N533,0.4102937918780959,real
N533,N1632,1.168966284331288,real
N534,N535,0.3612514999235081,real
N535,N1633,0.5632777984570511,real
N536,N537,0.1470192923499753,real
N537,N1634,0.4520725381821524,real
N538,N539,0.1291047606075365,real
N539,N1635,0.3679918922098697,real
N540,N541,0.1039347037372886,real
N541,N1636,0.3596201616804962,real
N542,N543,0.566623300750392,real
N543,N1637,0.17808468212085,real
N544,N545,0.1164706706289326,real
N545,N1638,0.3720033890279072,real
N546,N547,0.1562995899786272,real
N547,N1639,0.5127004818932278,real
N548,N549,0.1459350947426105,real
N549,N1640,0.2555684268421765,real
N550,N551,0.2182828609632692,real
N551,N1641,0.746485502365024,real
N552,N553,0.1821963483523585,real
N553,N1642,0.5548656577912205,real
N554,N555,0.07988993845376,real
N555,N1643,0.3450990158890069,real
N556,N557,0.0759223113210091,real
N557,N1644,0.237965116359129,real
N558,N559,0.1147269395979301,real
N559,N1645,0.3979783136992628,real
N560,N561,0.1148180735567524,real
N561,N1646,0.4797489299747067,real
N562,N563,0.0933408076204469,real
N563,N1647,0.3451271961173716,real
N564,N565,0.1215308796911532,real
N565,N1648,0.4833512360414121,real
N566,N567,0.0734397205235283,real
N567,N1649,0.236093691554672,real
N568,N569,0.182034317300362,real
N569,N1650,0.5022404345235951,real
N570,N571,0.1381015638198985,real
N571,N1651,0.4853821218971744,real
N572,N573,0.0706011269405521,real
N573,N1652,0.1064621427993608,real
N574,N575,0.0959491730583191,real
N575,N1653,0.2686752934610709,real
N576,N577,0.1147302718378664,real
N577,N1654,0.3071455192170796,real
N578,N579,0.1176721853941384,real
N579,N1655,0.281996474073185,real
N580,N581,0.146788626054902,real
N581,N1656,0.2705631001010448,real
N582,N583,0.1896343603601359,real
N583,N1657,0.3024178411204141,real
N584,N585,0.4440993000684486,real
N585,N1658,0.2049045921598161,real
N586,N587,0.2115248649939743,real
N587,N1659,0.6940078247220633,real
N588,N589,0.2593772020601359,real
N589,N1660,0.1451904727128139,real
N590,N591,0.2303288864963242,real
N591,N1661,0.9123812016006206,real
N592,N593,0.2254351135984417,real
N593,N1662,1.1609636426015548,real
N594,N595,0.252856824377664,real
N595,N1663,0.7124120876382709,real
N596,N597,0.1717746212594927,real
N597,N1664,0.4553207832243123,real
N598,N599,0.2171364656227486,real
N599,N1665,0.7953547407650328,real
N600,N601,0.1911441339965634,real
N601,N1666,0.6540661002071342,real
N602,N603,0.1387492680641035,real
N603,N1667,0.5483401263721966,real
N604,N605,0.0996626644528559,real
N605,N1668,0.3265275223360046,real
N606,N607,0.1617674472676887,real
N607,N1669,0.5028219214941162,real
N608,N609,0.1233416576710497,real
N609,N1670,0.3831409363970149,real
N610,N611,0.0608297859857052,real
N611,N1671,0.3481834657363881,real
N612,N613,0.068329414632853,real
N613,N1672,0.4899152799503966,real
N614,N615,0.0845091724779592,real
N615,N1673,0.4799787355017594,real
N616,N617,0.0996649420058193,real
N617,N1674,0.4022977773756555,real
N618,N619,0.1777552072145262,real
N619,N1675,0.591423815187142,real
N620,N621,0.1420117596758872,real
N621,N1676,0.4779105609492062,real
N622,N623,0.1289616893662549,real
N623,N1677,0.4432191058980807,real
N624,N625,0.0998966279023494,real
N625,N1678,0.4142222672207087,real
N626,N627,0.1469366839310799,real
N627,N1679,0.4259389353437435,real
N628,N629,0.1269435495501393,real
N629,N1680,0.4483222261475354,real
N630,N631,0.1177052154378771,real
N631,N1681,0.442636560407319,real
N632,N1682,2.729054518204507,real
N633,N1120,1.4716983527765235,real
N634,N1120,0.0151966957532834,real
N634,N894,0.3056612098113618,real
N635,N1683,2.32247632896787,real
N636,N637,0.5078355323549067,real
N637,N1684,0.5643347630359865,real
N638,N649,0.5067329211775295,real
N639,N1685,1.77696079286503,real
N639,N1686,1.052679009081495,real
N640,N641,0.0103600183646737,real
N641,N882,0.0111194926642146,real
N641,N644,0.015197801507346,real
N642,N640,0.9430245757096216,real
N643,N639,0.6609202289487749,real
N644,N646,0.3655204661371407,real
N645,N651,0.1677932875368534,real
N646,N1687,1.0346908120121774,real
N647,N881,0.0616135180224598,real
N648,N882,0.9067256484428942,real
N648,N646,0.5983704602896257,real
N649,N664,1.57611897682407,real
N650,N647,0.2700664122611353,real
N651,N658,0.5568028100469059,real
N652,N653,0.0103607301831876,real
N653,N652,0.0103607301831876,real
N652,N652,0.0,real
N654,N885,0.5803123636654016,real
N655,N648,0.4015066257522598,real
N653,N657,0.9893468599854548,real
N656,N648,0.5839666166873277,real
N657,N656,0.1764841945257419,real
N656,N655,0.3835107263463711,real
N658,N1688,0.9101883689032648,real
N659,N656,0.1895949973198093,real
N660,N666,0.9741764198476156,real
N661,N886,0.1111949266442688,real
N662,N1092,0.2481145005570909,real
N663,N659,0.2443462215971474,real
N664,N697,0.671353108660894,real
N665,N669,1.8036907032707472,real
N666,N1689,0.5112409090668277,real
N667,N686,1.583528660837795,real
N668,N661,0.9727651876185672,real
N668,N655,0.3453265538222937,real
N669,N689,0.2750631157621562,real
N670,N663,0.868031029691056,real
N652,N670,0.5346399498136011,real
N671,N663,0.2309153045292569,real
N672,N670,0.1691002333714772,real
N673,N672,0.0893495456056017,real
N674,N683,0.1248302772678666,real
N675,N678,0.6321279182846492,real
N675,N661,0.355974582069527,real
N676,N675,0.0103611528945531,real
N677,N674,0.2696198222639054,real
N678,N677,0.8404317286786298,real
N679,N674,0.0850801942801001,real
N669,N681,0.3881719875164972,real
N680,N673,0.1451204069671411,real
N681,N680,0.1616567061652161,real
N682,N676,0.104791601770011,real
N683,N685,0.5298593721654667,real
N684,N686,0.3334366996075947,real
N670,N909,0.2355690855783746,real
N685,N1690,1.4609772883582166,real
N686,N704,0.0778364486509174,real
N687,N923,0.5392420233675347,real
N687,N951,0.6942019633114527,real
N688,N1691,0.5144261547658918,real
N689,N702,0.5497923190854559,real
N690,N878,0.1488446984981742,real
N691,N668,0.5353423269291716,real
N692,N682,0.2481148347463639,real
N693,N1692,1.1343706776370712,real
N694,N1693,0.3842549471715413,real
N695,N925,0.1145156337515736,real
N696,N691,0.5136392507597997,real
N697,N700,0.7472624405991868,real
N698,N668,1.0622770536621151,real
N699,N687,0.4671078659734131,real
N699,N951,0.4096821523047124,real
N700,N707,0.2213636473178947,real
N701,N680,0.5788201826170173,real
N702,N701,0.2448481710030233,real
N703,N1694,0.6018816039108112,real
N704,N904,0.3630582994024758,real
N705,N701,0.2649361422238803,real
N705,N1695,0.1418529622935599,real
N701,N1088,0.0895573550567229,real
N706,N1165,0.3920041759810552,real
N707,N716,0.3148504663600961,real
N708,N705,0.2818955078679272,real
N709,N902,0.2021002695836562,real
N710,N709,0.0330140321897777,real
N711,N710,0.1868418736592191,real
